,LG L90,Nexus 5,Nexus 7,Samsung J7,Zenfone Selfie
4%,,,,"3,57","3,482"
,,,,,
13%,,,,,"3,52"
15%,,,,"3,667","3,498"
21%,,,,"3,691","3,523"
27%,,,,,"3,551"
30%,"3,698",,,,
35%,,,,"3,743","3,707"
40%,"3,774","3,763","3,743","3,804","3,693"
45%,,"3,739","3,739","3,761","3,774"
,,,,,
52%,,,,"3,808","3,82"
58%,,,,,"3,862"
65%,,,,"3,96","3,861"
,,,,,
70%,,,,,"3,898"
76%,,,,"4,035","4,055"
81%,,,,,"4,068"
88%,,,,"4,3","4,168"
96%,,,,,"4,238"
97%,,,,,"4,292"
100%,"4,253","4,128","4,145","4,39","4,238"
Dif Percentual,"88,74%","91,16%","90,30%","86,65%","87,14%"
,"4,01","3,95","3,94","4,10","3,97"
